ID,URL,NAME,ADDRESS,CITY,SCHOOL_TYPE,LEVEL_CODE
36297bee-d10b-43ee-9fb8-becc754d65b2,https://educationdestinationasia.com/school/hangzhou-international-school,Hangzhou International School,China,China,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
e641ee4d-f1fa-4e1b-9d13-a5d3987848bd,https://educationdestinationasia.com/school/montkiara-international-school,Mont'Kiara International School (MKIS),"Kuala Lumpur City, Kuala Lumpur",Kuala Lumpur City,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
495ecc13-a9e2-4982-a53d-9266f2eb651b,https://educationdestinationasia.com/school/kinabalu-international-school-1,Kinabalu International School,"Kota Kinabalu, Sabah",Kota Kinabalu,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
0a0140de-3636-4311-8ff5-12ac42d122a8,https://educationdestinationasia.com/school/kais-high-school,KAIS International School,Tokyo,Tokyo,"Secondary Schools, Pre-University","s, pu"
5d326d24-bb80-444a-8174-a6d5b7a0f2b2,https://educationdestinationasia.com/school/british-international-school-bis-uae,British International School (BIS) UAE,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
287c6cde-9423-48e5-8041-f16ad4de568e,https://educationdestinationasia.com/school/morris-allen-english-mytown-shopping-centre-cheras,Morris Allen English (MyTOWN Shopping Centre Cheras),Kuala Lumpur,Kuala Lumpur,,
e37672ce-0a7f-4ea6-b8ec-71562ad3dbf5,https://educationdestinationasia.com/school/spa-solo-raya,S.P.A. SOLO RAYA,Indonesia,Indonesia,,
a88b9d92-3436-4cb1-abb0-4d2d9b6c8df5,https://educationdestinationasia.com/school/etonhouse-international-preschool-melaka,Etonhouse International Preschool Melaka,Melaka,Melaka,Preschool/Kindergarten,k
4dee733e-d73e-4976-a201-fbb46b1348e3,https://educationdestinationasia.com/school/sri-sempurna-school,Sri Sempurna International School,"Kuala Lumpur City, Kuala Lumpur",Kuala Lumpur City,"Primary Schools, Secondary Schools","p, s"
7ef60454-3fce-4b96-9eca-d63624786943,https://educationdestinationasia.com/school/kids-kingdom-international-kindergarten,Kids Kingdom International Kindergarten,Bangkok,Bangkok,Preschool/Kindergarten,k
b2062b3f-ecbb-4190-b887-8a4aff249040,https://educationdestinationasia.com/school/utama-schools,Sri Utama Schools,"Setapak, Kuala Lumpur | Johor Bahru, Johor | Kuala Terengganu, Terengganu",Setapak,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
1ce471c8-dbe9-4fc1-95d2-5227e28c8bc7,https://educationdestinationasia.com/school/dyatmika-school,Dyatmika School,Indonesia,Indonesia,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
3c300d05-7868-4d22-8f69-d160bc3cece3,https://educationdestinationasia.com/school/emirates-future-international-academy,Emirates Future International Academy,Abu Dhabi,Abu Dhabi,"Preschool/Kindergarten, Primary Schools","k, p"
ec18e27c-7c8f-4b11-a0ab-d6419b05331b,https://educationdestinationasia.com/school/overseas-chinese-high-school-seoul-korea,Overseas Chinese High School Seoul,Seoul,Seoul,Secondary Schools,s
01e84230-7f41-43dd-806a-e2a08fa17f68,https://educationdestinationasia.com/school/kindai-university-high-school,Kindai University High School,Osaka,Osaka,"Secondary Schools, Pre-University","s, pu"
5b025ab2-44cd-474f-993b-b51125b56d19,https://educationdestinationasia.com/school/victoria-international-school,Victoria International School,"Banting, Selangor",Banting,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
c23b6a4b-d8b3-4f4e-ab2e-2d8096d6c831,https://educationdestinationasia.com/school/dubai-heights-academy,Dubai Heights Academy,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools","k, p"
